player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,fastest_serve,avg_1st_serve,avg_2nd_serve,short_rallies_pts_won,medium_rallies_pts_won,long_rallies_pts_won,medium_rallies_pts_played,short_rallies_pts_played,long_rallies_pts_played
K.Zavatska,M.Sakkari,french_open,2021,1,118,0,1,40/63 (63%),18/40 (45%),11/23 (48%),2/7 (29%),2/5 (40%),22/55 (40%),9,17,51,103 mph,83 mph,68 mph,37,12,1,79,29,9
J.Paolini,S.Voegele,french_open,2021,1,121,0,0,46/66 (70%),32/46 (70%),12/20 (60%),4/7 (57%),4/9 (44%),24/55 (44%),27,26,68,na,na,na,na,na,na
S.Voegele,J.Paolini,french_open,2021,1,121,6,2,32/55 (58%),24/32 (75%),7/23 (30%),3/5 (60%),1/6 (17%),22/66 (33%),19,21,53,na,na,na,na,na,na
H.Watson,Z.Diyas,french_open,2021,1,165,5,5,52/100 (52%),35/52 (67%),17/48 (35%),12/20 (60%),2/3 (67%),23/65 (35%),37,36,75,na,na,na,na,na,na
Z.Diyas,H.Watson,french_open,2021,1,165,1,2,48/65 (74%),35/48 (73%),7/17 (41%),5/10 (50%),4/15 (27%),48/100 (48%),26,15,90,na,na,na,na,na,na
S.Sanders,E.Mertens,french_open,2021,1,121,0,7,41/74 (55%),20/41 (49%),12/33 (36%),3/9 (33%),2/4 (50%),17/47 (36%),12,37,49,105 mph,94 mph,78 mph,27,16,6,71,33,17
E.Mertens,S.Sanders,french_open,2021,1,121,1,5,25/47 (53%),18/25 (72%),12/22 (55%),2/3 (67%),6/14 (43%),42/74 (57%),15,16,72,113 mph,101 mph,83 mph,44,17,11,71,33,17
G.Muguruza,M.Kostyuk,french_open,2021,1,130,1,4,48/72 (67%),25/48 (52%),11/24 (46%),5/9 (56%),1/3 (33%),20/58 (34%),9,40,56,106 mph,93 mph,82 mph,32,13,10,81,29,19
M.Kostyuk,G.Muguruza,french_open,2021,1,130,5,6,31/58 (53%),23/31 (74%),15/27 (56%),1/1 (100%),4/11 (36%),36/72 (50%),16,24,74,113 mph,93 mph,80 mph,49,16,9,81,29,19
S.Zheng,S.Sorribes Tormo,french_open,2021,1,189,1,1,67/89 (75%),40/67 (60%),10/22 (45%),28/47 (60%),6/13 (46%),48/100 (48%),47,55,98,na,na,na,na,na,na
S.Sorribes Tormo,S.Zheng,french_open,2021,1,189,0,6,67/100 (67%),41/67 (61%),11/33 (33%),20/30 (67%),5/9 (56%),39/89 (44%),19,27,91,na,na,na,na,na,na
L.Arruabarrena,V.Gracheva,french_open,2021,1,107,2,1,30/55 (55%),17/30 (57%),10/25 (40%),4/6 (67%),1/4 (25%),15/52 (29%),13,28,42,na,na,na,na,na,na
V.Gracheva,L.Arruabarrena,french_open,2021,1,107,3,1,26/52 (50%),21/26 (81%),16/26 (62%),3/7 (43%),4/7 (57%),28/55 (51%),23,23,65,na,na,na,na,na,na
C.Giorgi,P.Martic,french_open,2021,1,206,6,5,65/102 (64%),42/65 (65%),20/37 (54%),13/16 (81%),6/14 (43%),45/104 (43%),48,53,107,116 mph,100 mph,86 mph,61,34,12,128,58,20
P.Martic,C.Giorgi,french_open,2021,1,206,9,4,68/104 (65%),45/68 (66%),14/36 (39%),8/9 (89%),3/7 (43%),40/102 (39%),19,27,99,111 mph,96 mph,85 mph,67,24,8,128,58,20
A.Kontaveit,V.Golubic,french_open,2021,1,201,6,2,58/103 (56%),41/58 (71%),20/45 (44%),13/16 (81%),8/11 (73%),47/98 (48%),58,44,108,na,na,na,na,na,na
V.Golubic,A.Kontaveit,french_open,2021,1,201,2,5,58/98 (59%),34/58 (59%),17/40 (43%),5/11 (45%),5/7 (71%),42/103 (41%),23,22,93,na,na,na,na,na,na
AK.Schmiedlova,K.Mladenovic,french_open,2021,1,114,1,4,28/60 (47%),12/28 (43%),16/32 (50%),1/7 (14%),1/2 (50%),18/54 (33%),6,25,46,105 mph,98 mph,68 mph,27,11,8,53,33,28
K.Mladenovic,AK.Schmiedlova,french_open,2021,1,114,0,6,29/54 (54%),21/29 (72%),15/25 (60%),3/3 (100%),5/12 (42%),32/60 (53%),26,35,68,104 mph,94 mph,63 mph,26,22,20,53,33,28
R.Peterson,S.Rogers,french_open,2021,1,232,3,6,81/127 (64%),47/81 (58%),21/46 (46%),14/18 (78%),8/12 (67%),47/105 (45%),33,54,115,109 mph,95 mph,86 mph,54,38,23,106,88,38
S.Rogers,R.Peterson,french_open,2021,1,232,0,8,65/105 (62%),39/65 (60%),19/40 (48%),8/14 (57%),6/9 (67%),59/127 (46%),33,38,117,106 mph,96 mph,82 mph,52,50,15,106,88,38
K.Juvan,I.Swiatek,french_open,2021,1,124,2,1,44/67 (66%),26/44 (59%),7/23 (30%),8/12 (67%),1/4 (25%),20/57 (35%),18,28,53,109 mph,96 mph,75 mph,29,19,5,59,45,20
I.Swiatek,K.Juvan,french_open,2021,1,124,0,3,34/57 (60%),22/34 (65%),15/23 (65%),11/18 (61%),5/13 (38%),34/67 (51%),22,24,71,111 mph,100 mph,78 mph,30,26,15,59,45,20
S.Williams,I.Begu,french_open,2021,1,142,5,2,39/77 (51%),23/39 (59%),19/38 (50%),15/19 (79%),5/8 (63%),32/65 (49%),27,30,74,116 mph,103 mph,82 mph,44,20,10,86,39,17
I.Begu,S.Williams,french_open,2021,1,142,2,3,43/65 (66%),25/43 (58%),8/22 (36%),2/5 (40%),3/5 (60%),35/77 (45%),18,17,68,106 mph,99 mph,87 mph,42,19,7,86,39,17
A.Rus,M.Buzarnescu,french_open,2021,1,147,0,3,61/80 (76%),32/61 (52%),7/19 (37%),4/5 (80%),5/9 (56%),32/67 (48%),9,23,71,na,na,na,na,na,na
M.Buzarnescu,A.Rus,french_open,2021,1,147,0,5,44/67 (66%),26/44 (59%),9/23 (39%),8/10 (80%),7/12 (58%),41/80 (51%),20,24,76,na,na,na,na,na,na
D.Collins,X.Wang,french_open,2021,1,179,3,6,40/84 (48%),33/40 (83%),27/44 (61%),2/4 (50%),3/12 (25%),37/95 (39%),29,32,97,na,na,na,na,na,na
X.Wang,D.Collins,french_open,2021,1,179,3,5,66/95 (69%),44/66 (67%),14/29 (48%),4/9 (44%),1/5 (20%),24/84 (29%),29,49,82,na,na,na,na,na,na
A.Kalinina,A.Kerber,french_open,2021,1,128,2,3,49/68 (72%),29/49 (59%),8/19 (42%),9/11 (82%),6/10 (60%),33/60 (55%),21,32,70,101 mph,91 mph,79 mph,28,22,19,59,35,33
A.Kerber,A.Kalinina,french_open,2021,1,128,0,4,37/60 (62%),15/37 (41%),12/23 (52%),8/11 (73%),3/8 (38%),31/68 (46%),18,27,58,99 mph,89 mph,73 mph,31,13,14,59,35,33
E.Rybakina,E.Jacquemot,french_open,2021,1,105,3,3,27/54 (50%),22/27 (81%),12/27 (44%),19/27 (70%),5/10 (50%),28/51 (55%),30,19,62,118 mph,89 mph,82 mph,32,17,11,56,29,17
E.Jacquemot,E.Rybakina,french_open,2021,1,105,2,6,29/51 (57%),13/29 (45%),10/22 (45%),2/7 (29%),2/2 (100%),20/54 (37%),11,17,43,110 mph,99 mph,73 mph,24,12,6,56,29,17
N.Hibino,N.Stojanovic,french_open,2021,1,158,6,2,50/70 (71%),33/50 (66%),11/20 (55%),3/3 (100%),4/10 (40%),42/88 (48%),19,18,86,102 mph,91 mph,78 mph,56,24,6,99,48,11
N.Stojanovic,N.Hibino,french_open,2021,1,158,6,9,48/88 (55%),29/48 (60%),17/40 (43%),10/16 (63%),2/5 (40%),26/70 (37%),39,45,72,111 mph,96 mph,83 mph,43,24,5,99,48,11
E.Vesnina,O.Govortsova,french_open,2021,1,87,6,1,20/34 (59%),17/20 (85%),8/14 (57%),5/6 (83%),6/9 (67%),32/53 (60%),32,10,57,na,na,na,na,na,na
O.Govortsova,E.Vesnina,french_open,2021,1,87,0,3,34/53 (64%),15/34 (44%),6/19 (32%),0/3 (0%),0/1 (0%),9/34 (26%),6,11,30,na,na,na,na,na,na
G.Minnen,P.Kvitova,french_open,2021,1,209,4,7,62/108 (57%),41/62 (66%),22/46 (48%),6/8 (75%),3/4 (75%),32/101 (32%),17,27,95,106 mph,98 mph,80 mph,64,26,5,147,49,13
P.Kvitova,G.Minnen,french_open,2021,1,209,4,11,64/101 (63%),51/64 (80%),18/37 (49%),15/20 (75%),5/9 (56%),45/108 (42%),43,44,114,103 mph,96 mph,88 mph,83,23,8,147,49,13
V.Azarenka,S.Kuznetsova,french_open,2021,1,172,0,9,59/85 (69%),33/59 (56%),9/26 (35%),6/12 (50%),7/16 (44%),46/87 (53%),19,34,88,107 mph,91 mph,80 mph,36,37,15,77,67,28
S.Kuznetsova,V.Azarenka,french_open,2021,1,172,0,5,60/87 (69%),31/60 (52%),10/27 (37%),7/15 (47%),7/9 (78%),43/85 (51%),26,41,84,107 mph,88 mph,82 mph,41,30,13,77,67,28
C.Tauson,E.Gorgodze,french_open,2021,1,121,9,3,34/57 (60%),26/34 (76%),12/23 (52%),5/7 (71%),4/11 (36%),32/64 (50%),34,17,70,108 mph,101 mph,80 mph,42,20,8,74,33,13
E.Gorgodze,C.Tauson,french_open,2021,1,121,3,2,40/64 (63%),22/40 (55%),10/24 (42%),1/1 (100%),1/3 (33%),19/57 (33%),18,16,51,102 mph,92 mph,78 mph,32,13,5,74,33,13
L.Fernandez,A.Potapova,french_open,2021,1,100,0,1,26/38 (68%),20/26 (77%),8/12 (67%),12/12 (100%),5/9 (56%),35/62 (56%),17,6,63,na,na,na,na,na,na
A.Potapova,L.Fernandez,french_open,2021,1,100,3,5,32/62 (52%),19/32 (59%),8/30 (27%),2/6 (33%),0/0 (0%),10/38 (26%),16,20,37,na,na,na,na,na,na
O.Dodin,M.Keys,french_open,2021,1,157,7,8,38/87 (44%),27/38 (71%),15/49 (31%),6/10 (60%),4/7 (57%),27/70 (39%),19,38,69,118 mph,110 mph,89 mph,47,18,4,104,46,7
M.Keys,O.Dodin,french_open,2021,1,157,5,1,46/70 (66%),30/46 (65%),13/24 (54%),4/8 (50%),6/13 (46%),45/87 (52%),25,19,88,113 mph,98 mph,79 mph,57,28,3,104,46,7
A.Pavlyuchenkova,C.Mchale,french_open,2021,1,109,6,4,41/60 (68%),29/41 (71%),9/19 (47%),8/12 (67%),5/6 (83%),28/49 (57%),24,22,66,na,na,na,na,na,na
C.Mchale,A.Pavlyuchenkova,french_open,2021,1,109,0,2,30/49 (61%),14/30 (47%),7/19 (37%),6/12 (50%),1/5 (20%),22/60 (37%),15,26,43,na,na,na,na,na,na
K.Kozlova,A.Tomljanovic,french_open,2021,1,133,0,2,44/62 (71%),20/44 (45%),8/18 (44%),7/10 (70%),3/11 (27%),30/71 (42%),16,27,58,105 mph,91 mph,72 mph,30,14,14,58,38,36
A.Tomljanovic,K.Kozlova,french_open,2021,1,133,1,6,33/71 (46%),23/33 (70%),18/38 (47%),4/9 (44%),6/9 (67%),34/62 (55%),17,20,75,109 mph,97 mph,76 mph,28,24,22,58,38,36
D.Parry,A.Sasnovich,french_open,2021,1,178,1,3,60/92 (65%),38/60 (63%),16/32 (50%),6/10 (60%),3/6 (50%),31/86 (36%),15,38,85,105 mph,95 mph,86 mph,52,26,7,109,53,16
A.Sasnovich,D.Parry,french_open,2021,1,178,1,3,51/86 (59%),35/51 (69%),20/35 (57%),7/9 (78%),4/9 (44%),38/92 (41%),29,36,93,105 mph,92 mph,80 mph,57,27,9,109,53,16
A.Konjuh,A.Sabalenka,french_open,2021,1,126,2,7,45/69 (65%),25/45 (56%),7/24 (29%),4/6 (67%),4/5 (80%),27/57 (47%),12,25,59,114 mph,94 mph,79 mph,45,11,3,94,28,4
A.Sabalenka,A.Konjuh,french_open,2021,1,126,7,7,33/57 (58%),22/33 (67%),8/24 (33%),6/11 (55%),6/15 (40%),37/69 (54%),24,31,67,114 mph,101 mph,94 mph,49,17,1,94,28,4
B.Andreescu,T.Zidansek,french_open,2021,1,271,4,8,91/141 (65%),58/91 (64%),19/50 (38%),12/18 (67%),6/13 (46%),52/130 (40%),40,63,129,107 mph,96 mph,85 mph,85,34,9,166,81,23
T.Zidansek,B.Andreescu,french_open,2021,1,271,2,4,81/130 (62%),54/81 (67%),24/49 (49%),15/18 (83%),7/17 (41%),64/141 (45%),41,46,142,105 mph,93 mph,77 mph,81,47,14,166,81,23
M.Brengle,MC.Osorio Serrano,french_open,2021,1,138,0,5,50/70 (71%),26/50 (52%),7/20 (35%),11/14 (79%),8/14 (57%),41/68 (60%),9,13,74,na,na,na,na,na,na
MC.Osorio Serrano,M.Brengle,french_open,2021,1,138,0,10,44/68 (65%),22/44 (50%),5/24 (21%),12/16 (75%),6/8 (75%),37/70 (53%),34,27,64,na,na,na,na,na,na
M.Bouzkova,K.Siniakova,french_open,2021,1,199,0,8,72/115 (63%),39/72 (54%),18/43 (42%),7/10 (70%),3/6 (50%),34/84 (40%),23,47,91,100 mph,91 mph,82 mph,51,29,11,109,65,23
K.Siniakova,M.Bouzkova,french_open,2021,1,199,1,9,51/84 (61%),33/51 (65%),17/33 (52%),11/21 (52%),7/20 (35%),58/115 (50%),31,46,108,106 mph,94 mph,78 mph,58,36,12,109,65,23
A.Anisimova,V.Kudermetova,french_open,2021,1,133,2,4,45/67 (67%),26/45 (58%),9/22 (41%),2/6 (33%),2/3 (67%),24/66 (36%),15,17,59,na,na,na,na,na,na
V.Kudermetova,A.Anisimova,french_open,2021,1,133,6,4,41/66 (62%),34/41 (83%),8/25 (32%),7/9 (78%),4/9 (44%),32/67 (48%),26,16,74,na,na,na,na,na,na
J.Konta,S.Cirstea,french_open,2021,1,127,2,4,34/64 (53%),20/34 (59%),15/30 (50%),4/6 (67%),2/4 (50%),21/63 (33%),21,30,56,107 mph,96 mph,85 mph,42,11,2,96,25,5
S.Cirstea,J.Konta,french_open,2021,1,127,0,2,39/63 (62%),28/39 (72%),14/24 (58%),4/11 (36%),4/8 (50%),29/64 (45%),20,16,71,101 mph,89 mph,80 mph,54,14,3,96,25,5
A.Van Uytvanck,M.Trevisan,french_open,2021,1,233,6,3,80/135 (59%),44/80 (55%),28/55 (51%),14/26 (54%),5/14 (36%),41/98 (42%),35,44,113,na,na,na,na,na,na
M.Trevisan,A.Van Uytvanck,french_open,2021,1,233,0,5,68/98 (69%),45/68 (66%),12/30 (40%),12/27 (44%),6/19 (32%),63/135 (47%),26,41,120,na,na,na,na,na,na
D.Kasatkina,M.Doi,french_open,2021,1,213,2,5,61/104 (59%),35/61 (57%),19/43 (44%),2/4 (50%),8/12 (67%),55/109 (50%),32,41,109,na,na,na,na,na,na
M.Doi,D.Kasatkina,french_open,2021,1,213,1,8,67/109 (61%),39/67 (58%),15/42 (36%),13/20 (65%),6/14 (43%),50/104 (48%),30,55,104,na,na,na,na,na,na
N.Podoroska,B.Bencic,french_open,2021,1,87,1,0,21/40 (53%),6/21 (29%),8/19 (42%),3/4 (75%),1/5 (20%),15/47 (32%),4,26,29,103 mph,92 mph,76 mph,13,14,2,40,36,11
B.Bencic,N.Podoroska,french_open,2021,1,87,0,3,26/47 (55%),19/26 (73%),13/21 (62%),6/9 (67%),5/9 (56%),26/40 (65%),22,18,58,108 mph,100 mph,83 mph,27,22,9,40,36,11
K.Bertens,P.Hercog,french_open,2021,1,167,0,6,56/84 (67%),26/56 (46%),13/28 (46%),11/19 (58%),6/10 (60%),40/83 (48%),20,30,79,101 mph,92 mph,76 mph,48,13,18,99,41,27
P.Hercog,K.Bertens,french_open,2021,1,167,2,6,33/83 (40%),20/33 (61%),23/50 (46%),10/13 (77%),8/16 (50%),45/84 (54%),29,31,88,115 mph,107 mph,83 mph,51,28,9,99,41,27
L.Siegemund,C.Garcia,french_open,2021,1,95,1,6,35/54 (65%),18/35 (51%),11/19 (58%),3/7 (43%),0/1 (0%),8/41 (20%),9,32,37,97 mph,91 mph,82 mph,18,16,3,52,32,11
C.Garcia,L.Siegemund,french_open,2021,1,95,1,2,20/41 (49%),18/20 (90%),15/21 (71%),4/8 (50%),4/7 (57%),25/54 (46%),14,16,58,108 mph,99 mph,84 mph,34,16,8,52,32,11
A.Cornet,H.Tan,french_open,2021,1,124,0,3,36/52 (69%),15/36 (42%),7/16 (44%),15/21 (71%),5/6 (83%),36/72 (50%),16,31,58,101 mph,90 mph,77 mph,24,21,13,57,34,31
H.Tan,A.Cornet,french_open,2021,1,124,1,4,40/72 (56%),25/40 (63%),11/32 (34%),4/10 (40%),7/9 (78%),30/52 (58%),11,26,66,105 mph,93 mph,67 mph,33,13,18,57,34,31
K.Kanepi,M.Vondrousova,french_open,2021,1,141,2,8,41/71 (58%),25/41 (61%),10/30 (33%),9/26 (35%),3/6 (50%),27/70 (39%),21,36,62,na,na,na,na,na,na
M.Vondrousova,K.Kanepi,french_open,2021,1,141,0,4,49/70 (70%),30/49 (61%),13/21 (62%),7/8 (88%),7/13 (54%),36/71 (51%),18,14,79,na,na,na,na,na,na
P.Badosa,L.Davis,french_open,2021,1,138,2,8,45/74 (61%),30/45 (67%),14/29 (48%),5/9 (56%),4/8 (50%),32/64 (50%),27,26,76,115 mph,97 mph,84 mph,44,15,16,74,33,29
L.Davis,P.Badosa,french_open,2021,1,138,4,5,35/64 (55%),22/35 (63%),10/29 (34%),7/11 (64%),2/9 (22%),30/74 (41%),18,32,62,101 mph,86 mph,73 mph,30,18,13,74,33,29
C.Burel,D.Kovinic,french_open,2021,1,182,0,5,47/87 (54%),27/47 (57%),13/40 (33%),10/20 (50%),5/14 (36%),47/95 (49%),32,46,87,100 mph,23 mph,15 mph,15,7,1,27,13,8
D.Kovinic,C.Burel,french_open,2021,1,182,2,7,56/95 (59%),31/56 (55%),17/39 (44%),18/22 (82%),6/16 (38%),47/87 (54%),32,34,95,111 mph,17 mph,9 mph,12,6,7,27,13,8
E.Cocciaretto,A.Bogdan,french_open,2021,1,104,0,1,31/49 (63%),17/31 (55%),9/18 (50%),1/1 (100%),0/4 (0%),18/55 (33%),17,21,44,na,na,na,na,na,na
A.Bogdan,E.Cocciaretto,french_open,2021,1,104,1,1,37/55 (67%),29/37 (78%),8/18 (44%),4/5 (80%),4/5 (80%),23/49 (47%),19,17,60,na,na,na,na,na,na
PM.Tig,N.Osaka,french_open,2021,1,157,4,5,47/93 (51%),31/47 (66%),22/46 (48%),3/4 (75%),1/2 (50%),18/64 (28%),19,23,71,105 mph,64 mph,62 mph,46,15,7,98,34,13
N.Osaka,PM.Tig,french_open,2021,1,157,1,3,35/64 (55%),31/35 (89%),15/29 (52%),13/16 (81%),2/10 (20%),40/93 (43%),39,35,86,116 mph,84 mph,63 mph,52,19,6,98,34,13
